mode,cores,rx_mpps,tx_mpps,rx_pkts,tx_pkts,tx_drops,selection_drop_pct,selection_rounds,total_cycles_per_pkt,rx_cycles_per_pkt,parse_cycles_per_pkt,rewrite_cycles_per_pkt,checksum_cycles_per_pkt,tx_cycles_per_pkt,other_cycles_per_pkt,queues_seen,sample_lines,log_path
offload,1,44.839,44.839,44838912,44838912,0,0.000,3,46.600,4.600,3.400,4.300,16.000,14.500,3.700,0;0;0,13;11;12,results/raw/checksum_modes_txbuf_prefetch_fast_client/offload/server_1c.log
preserve,1,74.868,74.868,74868352,74868352,0,0.000,3,27.800,5.000,3.400,4.300,1.500,10.900,2.700,0;0;0,12;10;11,results/raw/checksum_modes_txbuf_prefetch_fast_client/preserve/server_1c.log
software,1,36.064,36.064,36063872,36063872,0,0.000,3,58.000,4.900,3.300,4.200,32.000,10.800,2.700,0;0;0,13;14;12,results/raw/checksum_modes_txbuf_prefetch_fast_client/software/server_1c.log
offload,2,85.789,85.789,85789184,85789184,0,0.000,3,48.700,5.850,3.550,4.250,16.600,14.850,3.600,1|0;1|0;1|0,20|21;24|25;22|23,results/raw/checksum_modes_txbuf_prefetch_fast_client/offload/server_2c.log
preserve,2,115.920,115.920,115919704,115919704,0,0.000,3,36.000,11.450,3.250,4.350,1.500,11.750,3.600,1|0;1|0;1|0,22|23;18|19;20|21,results/raw/checksum_modes_txbuf_prefetch_fast_client/preserve/server_2c.log
software,2,70.465,70.465,70464704,70464704,0,0.000,3,59.349,6.349,3.600,4.200,31.450,11.250,2.500,1|0;1|0;1|0,22|23;18|19;20|21,results/raw/checksum_modes_txbuf_prefetch_fast_client/software/server_2c.log
offload,4,115.925,115.925,115924016,115924016,0,0.000,3,71.750,15.798,2.750,5.650,15.350,15.979,16.224,1|2|3|0;1|2|3|0;1|2|3|0,42|43|44|45;30|31|32|33;34|35|36|37,results/raw/checksum_modes_txbuf_prefetch_fast_client/offload/server_4c.log
preserve,4,115.924,115.924,115924820,115924764,0,0.000,3,71.125,25.300,2.750,6.300,1.500,11.025,24.275,1|2|3|0;1|2|3|0;1|2|3|0,30|31|32|33;38|39|40|41;34|35|36|37,results/raw/checksum_modes_txbuf_prefetch_fast_client/preserve/server_4c.log
software,4,115.924,115.924,115923782,115923782,0,0.000,3,72.025,12.550,2.975,4.925,31.375,13.425,6.825,1|2|3|0;1|2|3|0;1|2|3|0,34|35|36|37;38|39|40|41;30|31|32|33,results/raw/checksum_modes_txbuf_prefetch_fast_client/software/server_4c.log
offload,6,115.925,115.925,115926056,115926056,0,0.000,3,106.242,24.960,3.128,6.040,10.843,15.967,45.341,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,42|43|44|45|46|47;54|55|56|57|58|59;60|61|62|63|64|65,results/raw/checksum_modes_txbuf_prefetch_fast_client/offload/server_6c.log
preserve,6,115.925,115.925,115926036,115926080,0,0.000,3,105.163,29.196,3.350,5.601,2.782,12.418,51.799,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,48|49|50|51|52|53;54|55|56|57|58|59;60|61|62|63|64|65,results/raw/checksum_modes_txbuf_prefetch_fast_client/preserve/server_6c.log
software,6,115.926,115.926,115926552,115926532,0,0.000,3,106.726,23.261,2.999,6.300,31.898,13.076,29.172,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,84|85|86|87|88|89;78|79|80|81|82|83;90|91|92|93|94|95,results/raw/checksum_modes_txbuf_prefetch_fast_client/software/server_6c.log
offload,8,115.927,115.927,115926048,115926052,0,0.000,3,139.887,22.950,3.713,4.700,8.713,17.162,82.550,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,70|71|72|73|74|75|76|77;78|79|80|81|82|83|84|85;54|55|56|57|58|59|60|61,results/raw/checksum_modes_txbuf_prefetch_fast_client/offload/server_8c.log
preserve,8,115.926,115.926,115925984,115925984,0,0.000,3,139.262,31.875,4.138,7.700,3.500,13.738,78.438,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,54|55|56|57|58|59|60|61;78|79|80|81|82|83|84|85;70|71|72|73|74|75|76|77,results/raw/checksum_modes_txbuf_prefetch_fast_client/preserve/server_8c.log
software,8,115.926,115.926,115926308,115926308,0,0.000,3,140.625,19.075,3.687,4.763,31.062,13.350,68.700,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,70|71|72|73|74|75|76|77;54|55|56|57|58|59|60|61;62|63|64|65|66|67|68|69,results/raw/checksum_modes_txbuf_prefetch_fast_client/software/server_8c.log
